transaction_date,post_date,description,state,spend_category,amount,month_year,type
2020-06-15,2020-06-16,LITTLE CAESARS PEMBINA SOWINNIPEG,MB,Restaurants,12.31,July 2020,purchase
2020-06-18,2020-06-19,REAL CDN. SUPERSTORE # WINNIPEG,MB,Retail and Grocery,40.24,July 2020,purchase
2020-06-20,2020-06-22,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,3.87,July 2020,purchase
2020-06-22,2020-06-22,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,3.87,July 2020,purchase
2020-06-23,2020-06-25,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,6.01,July 2020,purchase
2020-06-26,2020-06-29,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,3.87,July 2020,purchase
2020-06-26,2020-06-29,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,4.25,July 2020,purchase
2020-06-27,2020-06-29,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,3.87,July 2020,purchase
2020-06-29,2020-06-30,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,July 2020,purchase
2020-06-30,2020-07-02,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,July 2020,purchase
2020-06-30,2020-07-02,REAL CDN. SUPERSTORE # WINNIPEG,MB,Retail and Grocery,42.05,July 2020,purchase
2020-06-30,2020-07-02,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,5.59,July 2020,purchase
2020-07-01,2020-07-02,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,July 2020,purchase
2020-07-05,2020-07-07,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,4.25,July 2020,purchase
2020-07-08,2020-07-09,REAL CDN. SUPERSTORE # WINNIPEG,MB,Retail and Grocery,61.64,July 2020,purchase
2020-07-09,2020-07-13,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,20.14,July 2020,purchase
2020-07-12,2020-07-13,ASOYAMA SUSHI WINNIPEG,MB,Restaurants,77.31,July 2020,purchase
2020-06-21,2020-06-23,PAYMENT THANK YOU,,Payment,-65.42,July 2020,payment
2020-06-26,2020-06-29,PAYMENT THANK YOU,,Payment,-0.88,July 2020,payment
2020-07-01,2020-07-03,PAYMENT THANK YOU,,Payment,-63.59,July 2020,payment
2020-07-03,2020-07-06,PAYMENT THANK YOU,,Payment,-1.98,July 2020,payment
2020-07-09,2020-07-10,PAYMENT THANK YOU,,Payment,-65.89,July 2020,payment
2020-07-10,2020-07-13,PAYMENT THANK YOU,,Payment,-20.14,July 2020,payment
2020-08-17,2020-08-18,MY SPICE HOUSE WINNIPEG,MB,Retail and Grocery,11.0,September 2020,purchase
2020-08-17,2020-08-18,REAL CDN. SUPERSTORE # WINNIPEG,MB,Retail and Grocery,22.37,September 2020,purchase
2020-08-20,2020-08-21,MPI BISON SERVICE CENTRE WINNIPEG,MB,Professional and Financial Services,25.0,September 2020,purchase
2020-08-20,2020-08-24,SOBEYS #5037 WINNIPEG,MB,Retail and Grocery,15.76,September 2020,purchase
2020-08-22,2020-08-24,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,September 2020,purchase
2020-08-23,2020-08-24,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,3.5,September 2020,purchase
2020-08-26,2020-08-27,REAL CDN. SUPERSTORE # WINNIPEG,MB,Retail and Grocery,14.68,September 2020,purchase
2020-08-26,2020-08-27,MY SPICE HOUSE WINNIPEG,MB,Retail and Grocery,5.5,September 2020,purchase
2020-08-29,2020-08-31,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,September 2020,purchase
2020-08-29,2020-08-31,STARBUCKS 04827 WINNIPEG,MB,Restaurants,5.18,September 2020,purchase
2020-08-30,2020-08-31,TIM HORTONS #2856 WINNIPEG,MB,Restaurants,1.6,September 2020,purchase
2020-08-30,2020-08-31,TIM HORTONS #2856 WINNIPEG,MB,Restaurants,1.6,September 2020,purchase
2020-09-03,2020-09-08,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,13.25,September 2020,purchase
2020-09-04,2020-09-08,MPI ST MARY'S SERVICE CENWINNIPEG,MB,Professional and Financial Services,20.0,September 2020,purchase
2020-09-05,2020-09-08,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.6,September 2020,purchase
2020-09-06,2020-09-08,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.6,September 2020,purchase
2020-09-07,2020-09-08,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,September 2020,purchase
2020-08-25,2020-08-26,PAYMENT THANK YOU,,Payment,-79.61,September 2020,payment
2020-09-02,2020-09-03,PAYMENT THANK YOU,,Payment,-30.54,September 2020,payment
2020-09-04,2020-09-08,PAYMENT THANK YOU,,Payment,-33.25,September 2020,payment
2020-09-05,2020-09-09,PAYMENT THANK YOU,,Payment,-1.6,September 2020,payment
2020-09-09,2020-09-10,PAYMENT THANK YOU,,Payment,-5.18,September 2020,payment
2020-09-13,2020-09-14,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.6,October 2020,purchase
2020-09-13,2020-09-14,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,October 2020,purchase
2020-09-13,2020-09-16,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,6.14,October 2020,purchase
2020-09-15,2020-09-16,REAL CDN. SUPERSTORE # WINNIPEG,MB,Retail and Grocery,29.52,October 2020,purchase
2020-09-20,2020-09-21,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,October 2020,purchase
2020-09-20,2020-09-21,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,0.65,October 2020,purchase
2020-09-21,2020-09-22,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,3.5,October 2020,purchase
2020-09-21,2020-09-23,STARBUCKS 04827 WINNIPEG,MB,Restaurants,2.74,October 2020,purchase
2020-09-23,2020-09-24,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,October 2020,purchase
2020-09-24,2020-09-25,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,1.98,October 2020,purchase
2020-09-25,2020-09-28,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,3.87,October 2020,purchase
2020-09-25,2020-09-28,TIM HORTONS #8152 WINNIPEG,MB,Restaurants,2.71,October 2020,purchase
2020-09-11,2020-09-14,PAYMENT THANK YOU,,Payment,-100.0,October 2020,payment
2020-09-21,2020-09-22,PAYMENT THANK YOU,,Payment,-238.27,October 2020,payment
2020-09-24,2020-09-25,PAYMENT THANK YOU,,Payment,-8.22,October 2020,payment
2020-09-25,2020-09-28,PAYMENT THANK YOU,,Payment,-1.98,October 2020,payment
2020-09-29,2020-09-30,PAYMENT THANK YOU,,Payment,-32.13,October 2020,payment
2020-09-30,2020-10-01,PAYMENT THANK YOU,,Payment,-52.13,October 2020,payment
2020-10-02,2020-10-05,PAYMENT THANK YOU,,Payment,-41.04,October 2020,payment
2020-10-04,2020-10-06,PAYMENT THANK YOU,,Payment,-60.0,October 2020,payment
2020-10-04,2020-10-06,PAYMENT THANK YOU,,Payment,-45.34,October 2020,payment
2020-10-05,2020-10-06,PAYMENT THANK YOU,,Payment,-10.0,October 2020,payment
2020-10-06,2020-10-07,PAYMENT THANK YOU,,Payment,-9.9,October 2020,payment
2020-10-07,2020-10-08,PAYMENT THANK YOU,,Payment,-13.84,October 2020,payment
2020-10-08,2020-10-09,PAYMENT THANK YOU,,Payment,-40.09,October 2020,payment
2020-10-11,2020-10-14,SHOPPERSDRUGMART0532 WINNIPEG,MB,Health and Education,2.26,November 2020,purchase
2020-10-12,2020-10-14,7-ELEVEN 17060 D2811 WINNIPEG,MB,Retail and Grocery,1.89,November 2020,purchase
2020-10-12,2020-10-14,7-ELEVEN 17060 D2811 WINNIPEG,MB,Retail and Grocery,5.99,November 2020,purchase
2020-10-13,2020-10-14,DOLLARAMA #1286 WINNIPEG,MB,Retail and Grocery,3.93,November 2020,purchase
2020-10-13,2020-10-15,PIZZA PIZZA # 450 WINNIPEG,MB,Restaurants,17.91,November 2020,purchase
2020-10-13,2020-10-15,7-ELEVEN 17060 D2811 WINNIPEG,MB,Retail and Grocery,2.23,November 2020,purchase
